Campaign ID,Campaign Name,Adgroup ID,Adgroup Name,Start Date,End Date,Current Bid,Bid,Clicks,Costs,Impressions
156420236,SEM DVDs,7988084396,DVDs General,20160207,20160213,0.25,0.17,57,5.12,3510
156420236,SEM DVDs,7988084396,DVDs General,20160207,20160213,0.25,0.25,71,10.80,3920
156420236,SEM DVDs,7988084396,DVDs General,20160207,20160213,0.25,0.69,96,31.20,4520
156420236,SEM DVDs,7988084396,DVDs General,20160207,20160213,0.25,0.17,57,5.12,3510
156420236,SEM DVDs,7988084396,DVDs General,20160207,20160213,0.25,0.25,71,10.80,3920
156420236,SEM DVDs,7988084396,DVDs General,20160207,20160213,0.25,0.69,96,31.20,4520
156893156,SEM Opera Glasses,8000177996,Opera Glasses,20160207,20160213,0.26,0.18,18,2.66,4260
156893156,SEM Opera Glasses,8000177996,Opera Glasses,20160207,20160213,0.26,0.26,22,4.26,7480
156893156,SEM Opera Glasses,8000177996,Opera Glasses,20160207,20160213,0.26,0.70,33,12.80,11000
156893156,SEM Opera Glasses,8000177996,Opera Glasses,20160207,20160213,0.26,0.22,24,4.68,8570
156893156,SEM Opera Glasses,8000177996,Opera Glasses,20160207,20160213,0.26,0.32,32,8.10,12100
156893156,SEM Opera Glasses,8000177996,Opera Glasses,20160207,20160213,0.26,0.39,37,11.00,13300
156893156,SEM Opera Glasses,8000177996,Opera Glasses,20160207,20160213,0.26,0.49,42,14.50,14300
156893156,SEM Opera Glasses,8000177996,Opera Glasses,20160207,20160213,0.26,0.78,45,19.40,15200
156893156,SEM Opera Glasses,8000177996,Opera Glasses,20160207,20160213,0.26,0.82,51,28.30,15300
171185756,DSA,8841041516,DSA DVDs,20160207,20160213,0.25,0.15,104,11.10,7650
171185756,DSA,8841041516,DSA DVDs,20160207,20160213,0.25,0.25,132,20.20,14400
171185756,DSA,8841041516,DSA DVDs,20160207,20160213,0.25,0.30,149,28.60,18500
171185756,DSA,8841041516,DSA DVDs,20160207,20160213,0.25,0.36,152,30.30,24300
171185756,DSA,8841041516,DSA DVDs,20160207,20160213,0.25,0.48,189,48.40,35500
171185756,DSA,8841041516,DSA DVDs,20160207,20160213,0.25,0.57,206,60.80,45600
156170516,SEM Jewelry,7968528956,General - Opera Jewelry,20160207,20160213,0.70,0.28,0,0.00,83
156170516,SEM Jewelry,7968528956,General - Opera Jewelry,20160207,20160213,0.70,0.34,0,0.00,101
156170516,SEM Jewelry,7968528956,General - Opera Jewelry,20160207,20160213,0.70,0.41,0,0.00,122
156170516,SEM Jewelry,7968528956,General - Opera Jewelry,20160207,20160213,0.70,0.49,0,0.00,142
156170516,SEM Jewelry,7968528956,General - Opera Jewelry,20160207,20160213,0.70,0.70,0,0.00,159
156170516,SEM Jewelry,7968528956,General - Opera Jewelry,20160207,20160213,0.70,1.11,0,0.00,177
156170516,SEM Jewelry,7968528956,General - Opera Jewelry,20160207,20160213,0.70,2.19,0,0.00,188
156420236,SEM DVDs,8014870916,Der Ring,20160207,20160213,0.25,0.07,0,0.00,9
156420236,SEM DVDs,8014870916,Der Ring,20160207,20160213,0.25,0.25,0,0.00,17
156420236,SEM DVDs,8014870916,Der Ring,20160207,20160213,0.25,0.80,0,0.00,27
156420236,SEM DVDs,8014870916,Der Ring,20160207,20160213,0.25,1.02,0,0.00,33
156420236,SEM DVDs,8014870916,Der Ring,20160207,20160213,0.25,1.33,0,0.00,38
156420236,SEM DVDs,8014870916,Der Ring,20160207,20160213,0.25,1.55,0,0.00,44
156203996,RLSA Books,7971213116,Books General,20160203,20160209,1.00,0.25,0,0.00,5
156203996,RLSA Books,7971213116,Books General,20160203,20160209,1.00,1.50,0,0.00,10
156203996,RLSA Books,7971213116,Books General,20160203,20160209,1.00,4.75,0,0.00,15
171185756,DSA,9198627716,DSA CD's,20160207,20160213,0.25,0.16,56,6.71,8880
171185756,DSA,9198627716,DSA CD's,20160207,20160213,0.25,0.22,66,9.87,12600
171185756,DSA,9198627716,DSA CD's,20160207,20160213,0.25,0.25,74,12.70,14400
171185756,DSA,9198627716,DSA CD's,20160207,20160213,0.25,0.45,82,17.90,22400
171185756,DSA,9198627716,DSA CD's,20160207,20160213,0.25,0.59,89,23.70,25800
171185756,DSA,9198627716,DSA CD's,20160207,20160213,0.25,0.70,96,30.50,27400
171185756,DSA,9198627716,DSA CD's,20160207,20160213,0.25,0.88,99,38.20,28800
156420236,SEM DVDs,8000181596,Madama Butterfly DVD,20160207,20160213,0.25,0.11,7,0.52,433
156420236,SEM DVDs,8000181596,Madama Butterfly DVD,20160207,20160213,0.25,0.25,11,1.71,818
156420236,SEM DVDs,8000181596,Madama Butterfly DVD,20160207,20160213,0.25,0.79,12,2.91,1080
156420236,SEM DVDs,8000181596,Madama Butterfly DVD,20160207,20160213,0.25,1.11,13,3.92,1320
156420236,SEM DVDs,8000181596,Madama Butterfly DVD,20160207,20160213,0.25,1.35,13,4.64,1520
156420236,SEM DVDs,8000181596,Madama Butterfly DVD,20160207,20160213,0.25,1.64,14,5.92,1700
156420236,SEM DVDs,8000181596,Madama Butterfly DVD,20160207,20160213,0.25,2.12,14,6.51,1890
185092196,SEM Jackets,9820709036,General - Opera Jackets,20160207,20160213,0.25,0.18,0,0.00,119
185092196,SEM Jackets,9820709036,General - Opera Jackets,20160207,20160213,0.25,0.25,0,0.00,237
185092196,SEM Jackets,9820709036,General - Opera Jackets,20160207,20160213,0.25,0.31,0,0.00,371
185092196,SEM Jackets,9820709036,General - Opera Jackets,20160207,20160213,0.25,0.39,0,0.00,502
185092196,SEM Jackets,9820709036,General - Opera Jackets,20160207,20160213,0.25,0.53,0,0.00,628
